地区,2016,2017,2018,2018urual,2018city
北京,15.2,16.3,14.4,19.26,15.51
天津,14.6,14.6,13.9,20.32,16.58
河北,15.4,16.8,18.4,20.48,16.17
山西,11.5,11.9,13.9,19.08,13.34
内蒙古,12.1,14.3,12.8,17.46,14.17
辽宁,17.4,18.6,20,23.14,19.99
吉林,14.2,16.2,16.4,17.38,17.85
黑龙江,15.3,15.6,15.8,16.3,18.28
上海,16.8,18.8,19.9,23.76,20
江苏,18.6,19.2,19.9,29.74,16.61
浙江,15.4,16.6,17.7,28.08,12.97
安徽,16.2,19.1,19.4,26.54,15.86
福建,13.9,13.2,12.9,20.44,11.22
江西,13.9,14.2,13.9,19.01,15.75
山东,16.3,18.6,22.7,25.82,15.39
河南,14.6,15.9,16.3,22,14.57
湖北,15.9,17,17.3,22.74,15.65
湖南,17,17.5,18.4,25,15.53
广东,10.2,10.3,11,19.95,9.14
广西,14.1,14.3,14.7,23.73,13.78
海南,11.5,11.4,11.3,19.57,11.58
重庆,19.8,20.6,21.1,36.75,17.54
四川,19.5,19.8,21.8,28.95,18.03
贵州,14.1,14.5,17.1,24,15.02
云南,11.6,11.6,13.2,17.21,14.63
西藏,7,8.2,8,12.87,6.91
陕西,14.4,15.1,15,20.08,15.83
甘肃,13.6,14.3,15.9,19.88,15.59
青海,9.9,11,10.4,13.91,15
宁夏,10.7,11.6,12.7,15.07,13.56
新疆,10.3,10.4,10.2,13.14,14.74
